R1,R2,R3,Bases,Outs,Balls,Strikes,RunExp,IncStrike,IncBall,CallSpread
1,0,0,1,1,0,1,0.4545302574389836,-0.08275745193123835,0.03700292333904842,0.11976037527028677
1,0,1,13,1,0,1,1.0929549902152642,-0.20429102260392817,-0.01592417789033429,0.18836684471359388
1,1,0,12,1,0,1,0.8711993243243243,-0.17432683033875895,0.05900787305844557,0.23333470339720452
1,1,1,123,1,0,1,1.4425022999080037,-0.28852306115367843,0.16670667293733277,0.4552297340910112
0,0,0,0,1,0,2,0.1760247052217855,-0.08458717062130572,0.041011134686951056,0.12559830530825677
0,0,1,3,1,0,2,0.7858942065491183,-0.3822970842469601,-0.007459937716031151,0.3748371465309289
0,1,0,2,1,0,2,0.5164744645799012,-0.19813246088800657,0.052114004604989494,0.25024646549299606
0,1,1,23,1,0,2,1.018140589569161,-0.42462707605564753,0.18863087355054864,0.6132579496061962
1,0,0,1,1,0,2,0.3717728055077453,-0.15410885869601967,0.050047340319962,0.20415619901598167
1,0,1,13,1,0,2,0.888663967611336,-0.33601496098881944,0.02383603238866394,0.3598509933774834
1,1,0,12,1,0,2,0.6968724939855654,-0.2710841499208469,0.07944329548811879,0.3505274454089657
1,1,1,123,1,0,2,1.1539792387543253,-0.3883116638224452,0.22246122219317788,0.6107728860156231
0,0,0,0,1,1,0,0.27956989247311825,-0.029933793492041116,0.042740077911876784,0.0726738714039179
0,0,1,3,1,1,0,0.9974358974358974,-0.02035853353904926,0.16179977135391144,0.1821583048929607
0,1,0,2,1,1,0,0.7197035745422842,-0.044091521811587375,0.036679404181120034,0.08077092599270741
0,1,1,23,1,1,0,1.4231242312423125,-0.1082362207021279,0.008362649224159746,0.11659886992628765
1,0,0,1,1,1,0,0.59615769461677,-0.104624513838738,0.14342563871656333,0.24805015255530133
1,0,1,13,1,1,0,1.3232445520581113,-0.2462137397331814,0.23437626578575488,0.48059000551893627
1,1,0,12,1,1,0,1.0720987654320988,-0.1418915680493289,0.16437727784456269,0.3062688458938916
1,1,1,123,1,1,0,1.8013468013468013,-0.19213782850146477,0.23581536081536103,0.4279531893168258
0,0,0,0,1,1,1,0.24963609898107714,-0.03260025907234057,0.021785314080556395,0.054385573152896965
0,0,1,3,1,1,1,0.9770773638968482,-0.198643095063761,0.07269639175926046,0.27133948682302145
0,1,0,2,1,1,1,0.6756120527306968,-0.1070235835458061,0.02408988467615869,0.1311134682219648
0,1,1,23,1,1,1,1.3148880105401846,-0.10811654742047483,0.10333628852523602,0.21145283594571085
1,0,0,1,1,1,1,0.49153318077803204,-0.06971303495032477,0.09145341191729855,0.16116644686762333
1,0,1,13,1,1,1,1.07703081232493,-0.16453081232492994,0.08309990662931854,0.24763071895424849
1,1,0,12,1,1,1,0.9302071973827699,-0.15389140790908573,0.1567014934863169,0.31059290139540263
1,1,1,123,1,1,1,1.6092089728453365,-0.23276851189783332,0.24444956374002946,0.4772180756378628
0,0,0,0,1,1,2,0.21703583990873657,-0.12559830530825677,0.012038017066644452,0.13763632237490123
0,0,1,3,1,1,2,0.7784342688330872,-0.3748371465309289,0.059198508101662384,0.4340356546325913
0,1,0,2,1,1,2,0.5685884691848907,-0.25024646549299606,0.05411603832763012,0.3043625038206262
0,1,1,23,1,1,2,1.2067714631197097,-0.6132579496061962,0.004713130717825198,0.6179710803240214
1,0,0,1,1,1,2,0.42182014582770727,-0.20415619901598167,0.06583879209301075,0.2699949911089924
1,0,1,13,1,1,2,0.9125,-0.3598509933774834,0.06418997668997672,0.4240409700674601
1,1,0,12,1,1,2,0.7763157894736842,-0.3505274454089657,0.07821382725105452,0.4287412726600202
1,1,1,123,1,1,2,1.3764404609475032,-0.6107728860156231,0.05357640245890494,0.664349288474528
0,0,0,0,1,2,0,0.32230997038499504,-0.050888557323361505,0.13295527110352434,0.18384382842688585
0,0,1,3,1,2,0,1.1592356687898089,-0.10946191313370024,0.24227948272534272,0.35174139585904296
0,1,0,2,1,2,0,0.7563829787234042,-0.05668104131654872,0.16975338491295944,0.22643442622950816
0,1,1,23,1,2,0,1.4314868804664722,-0.013262581401051632,0.1262054272258355,0.13946800862688713
1,0,0,1,1,2,0,0.7395833333333334,-0.15659674063800277,0.1358955938697317,0.2924923345077345
